sku,title,matched_alt,reason,needed_source,category
APL-APD-4-2024,Apple AirPods 4 (2024),Apple AirPods 4 с активным шумоподавлением,ANC-версия {'anc?'} vs {'anc'} (отличается кейс/коробка),Apple AirPods 4 (2024),rejected
APL-APD-MAX-2024-ORG,Apple AirPods Max 2024 Orange,Apple AirPods Max (с разъёмом USB Type-C)  звездный свет,цвет ['orange'] vs ['starlight'],Apple AirPods Max 2024 Orange,rejected
APL-APD-MAX-2026-BLU,Apple AirPods Max 2026 Blue (US),Apple AirPods Max (с разъёмом USB Type-C)  синий,поколение/год 2026 vs usbc2024,Apple AirPods Max 2026 Blue,rejected
APL-APD-MAX-2026-MID,Apple AirPods Max 2026 Midnight (US),Apple AirPods Max (с разъёмом USB Type-C)  полуночный,поколение/год 2026 vs usbc2024,Apple AirPods Max 2026 Midnight,rejected
APL-APD-MAX-2026-ORG,Apple AirPods Max 2026 Orange (US),Apple AirPods Max (с разъёмом USB Type-C)  звездный свет,поколение/год 2026 vs usbc2024,Apple AirPods Max 2026 Orange,rejected
APL-APD-MAX-2026-PURPLE,Apple AirPods Max 2026 Purple (US),Apple AirPods Max (с разъёмом USB Type-C)  фиолетовый,поколение/год 2026 vs usbc2024,Apple AirPods Max 2026 Purple,rejected
APL-APD-MAX-2026-STL,Apple AirPods Max 2026 Starlight (US),Apple AirPods Max (с разъёмом USB Type-C)  звездный свет,поколение/год 2026 vs usbc2024,Apple AirPods Max 2026 Starlight,rejected
APL-APD-MAX-BLU-LIGHT,Apple AirPods Max Blue Light,Apple AirPods Max (с разъёмом USB Type-C)  синий,поколение/год None vs usbc2024,Apple AirPods Max Blue Light,rejected
MW133,Apple MacBook Air 13 Midnight (M4 16GB 512GB) (US-IN),Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB полуночный,поколение чипа M4 vs M5,Apple MacBook Air 13 Midnight (M4 16GB 512GB),rejected
MC6C4,Apple MacBook Air 13 Midnight (M4 24GB 512GB) (US-IN),Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB полуночный,поколение чипа M4 vs M5,Apple MacBook Air 13 Midnight (M4 24GB 512GB),rejected
MW0X3,Apple MacBook Air 13 Silver (M4 16GB 512GB) (US-IN),Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB серебристый,поколение чипа M4 vs M5,Apple MacBook Air 13 Silver (M4 16GB 512GB),rejected
MC6U4,Apple MacBook Air 13 Sky Blue (M4 16/10/10/512GB) (US-IN),Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB небесно-голубой,поколение чипа M4 vs M5,Apple MacBook Air 13 Sky Blue (M4 16/10/10/512GB),rejected
MC6U4-US-IN,Apple MacBook Air 13 Sky Blue (M4 16GB 512GB) (US-IN),Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB небесно-голубой,поколение чипа M4 vs M5,Apple MacBook Air 13 Sky Blue (M4 16GB 512GB),rejected
MC6V4,Apple MacBook Air 13 Sky Blue (M4 24GB 512G ) (US-IN),Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB небесно-голубой,поколение чипа M4 vs M5,Apple MacBook Air 13 Sky Blue (M4 24GB 512G ),rejected
MW103,Apple MacBook Air 13 Starlight (M4 16GB 512GB) (US-IN),Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB сияющая звезда,поколение чипа M4 vs M5,Apple MacBook Air 13 Starlight (M4 16GB 512GB),rejected
MW1L3,Apple MacBook Air 15 Midnight (M4 16/256),Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB полуночный,"размер 15"" vs 13""",Apple MacBook Air 15 Midnight (M4 16/256),rejected
MDVK4,"Apple MacBook Air 15 Midnight (M5, 16GB, 1TB) (US)",Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB полуночный,"размер 15"" vs 13""","Apple MacBook Air 15 Midnight (M5, 16GB, 1TB)",rejected
MDVH4,"Apple MacBook Air 15 Midnight (M5, 16GB, 512GB) (US)",Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB полуночный,"размер 15"" vs 13""","Apple MacBook Air 15 Midnight (M5, 16GB, 512GB)",rejected
MDVA4,"Apple MacBook Air 15 Silver (M5, 16GB, 1TB) (US)",Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB серебристый,"размер 15"" vs 13""","Apple MacBook Air 15 Silver (M5, 16GB, 1TB)",rejected
MDV94,"Apple MacBook Air 15 Silver (M5, 16GB, 512GB) (US)",Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB серебристый,"размер 15"" vs 13""","Apple MacBook Air 15 Silver (M5, 16GB, 512GB)",rejected
MC7C4,"Apple MacBook Air 15 Sky Blue (M4 16GB, 512GB) (US)",Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB небесно-голубой,"размер 15"" vs 13""","Apple MacBook Air 15 Sky Blue (M4 16GB, 512GB)",rejected
MDVT4,"Apple MacBook Air 15 Sky Blue (M5, 16GB, 1TB) (US)",Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB небесно-голубой,"размер 15"" vs 13""","Apple MacBook Air 15 Sky Blue (M5, 16GB, 1TB)",rejected
MDVQ4,"Apple MacBook Air 15 Sky Blue (M5, 16GB, 512GB) (US)",Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB небесно-голубой,"размер 15"" vs 13""","Apple MacBook Air 15 Sky Blue (M5, 16GB, 512GB)",rejected
MW1J3,"Apple MacBook Air 15 Starlight (M4 16GB, 256GB) (US)",Apple MacBook Air 13&quot; M5 2026 Американская раскладка 16GB 512GB сияющая звезда,"размер 15"" vs 13""","Apple MacBook Air 15 Starlight (M4 16GB, 256GB)",rejected
